buyer_id,supplier_id,year,spending_usd,type
Gov-01,Co-029,2015,0.0138694851077732,Government
Gov-30,Co-001,2015,0.0167635319073305,Government
Gov-26,Co-003,2015,0.0018067003657181,Education
Gov-25,Co-041,2015,0.0072737322574965,Education
Gov-25,Co-019,2015,0.0019434642337282,Education
Gov-25,Co-015,2015,0.0064354229506785,Education
Gov-25,Co-013,2015,0.0023306879458367,Education
Gov-21,Co-062,2015,0.0020881612275101,Education
Gov-30,Co-005,2015,0.0754404850218312,Government
Gov-20,Co-062,2015,0.0130781204327922,Social
Gov-19,Co-013,2015,0.0299733656254049,Social
Gov-18,Co-053,2015,0.0200518826692789,Government
Gov-17,Co-051,2015,0.0628964225153665,Social
Gov-15,Co-035,2015,0.0078620295427444,Health
Gov-14,Co-025,2015,0.0010943977517673,Education
Gov-13,Co-027,2015,0.0144460503233293,Social
Gov-12,Co-089,2015,0.0320771754828369,Government
Gov-20,Co-017,2015,0.0052160594418365,Social
Gov-30,Co-006,2015,0.0849101703957447,Government
Gov-30,Co-022,2015,0.1136039718304613,Government
Gov-30,Co-023,2015,0.0157228477003913,Government
Gov-52,Co-017,2015,0.0047733233472159,Education
Gov-51,Co-046,2015,0.0067669091110824,Education
Gov-48,Co-072,2015,0.0510187073517417,Government
Gov-45,Co-073,2015,0.0036479925058912,Government
Gov-44,Co-055,2015,0.0117401889909738,Security
Gov-43,Co-055,2015,0.0214931227430073,Security
Gov-42,Co-037,2015,0.0257553095071529,Health
Gov-41,Co-004,2015,0.9434463377304976,Government
Gov-40,Co-030,2015,0.090751621545936,Government
Gov-34,Co-072,2015,0.0503171380122932,Social
Gov-34,Co-021,2015,0.1190920803134246,Social
Gov-34,Co-011,2015,0.0090689093696456,Social
Gov-34,Co-001,2015,0.0090570848422127,Social
Gov-30,Co-072,2015,0.0099439168521087,Government
Gov-30,Co-041,2015,0.1177559766416445,Government
Gov-30,Co-035,2015,0.1598157792087915,Government
Gov-30,Co-034,2015,0.0538024067807453,Government
Gov-11,Co-035,2015,0.026265546042417,Security
Gov-11,Co-025,2015,0.042934569785276,Security
Gov-30,Co-020,2015,0.144641644930138,Government
Gov-06,Co-045,2015,0.1572068771144929,Education
Gov-08,Co-073,2015,0.0955597926560466,Security
Gov-02,Co-002,2015,0.0242495163191401,Government
Gov-07,Co-026,2015,0.0032102334051843,Education
Gov-07,Co-025,2015,0.0043629990370459,Education
Gov-09,Co-002,2015,0.1652437165712271,Government
Gov-09,Co-029,2015,0.0067173379246411,Government
Gov-09,Co-031,2015,0.007586880965916,Government
Gov-09,Co-066,2016,0.0321047959583383,Government
